<p>
Marvin	NP	Marvin
said	VBD	say
the	DT	the
attack	NN	attack
was	VBD	be
especially	RB	especially
brazen	JJ	brazen
and	CC	and
egregious	JJ	egregious
because	IN	because
it	PP	it
occurred	VBD	occur
on	IN	on
a	DT	a
holy	JJ	holy
day	NN	day
,	,	,
Simchat	NP	<unknown>
Torah	NP	Torah
,	,	,
which	WDT	which
commemorates	VBZ	commemorate
the	DT	the
conclusion	NN	conclusion
of	IN	of
the	DT	the
annual	JJ	annual
cycle	NN	cycle
of	IN	of
Torah	NN	Torah
readings	NNS	reading
.	SENT	.
<p>
"	''	"
They	PP	they
picked	VBD	pick
a	DT	a
holy	JJ	holy
day	NN	day
to	TO	to
do	VB	do
the	DT	the
attack	NN	attack
when	WRB	when
they	PP	they
feel	VBP	feel
that	IN	that
our	PP$	our
guard	NN	guard
is	VBZ	be
down	RP	down
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Blum	NP	Blum
described	VBD	describe
how	WRB	how
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
were	VBD	be
on	IN	on
"	``	"
pins	NNS	pin
and	CC	and
needles	NNS	needle
"	``	"
as	IN	as
they	PP	they
read	VBP	read
the	DT	the
series	NN	series
of	IN	of
text	NN	text
messages	NNS	message
from	IN	from
their	PP$	their
daughter	NN	daughter
describing	VBG	describe
how	WRB	how
Blum	NP	Blum
'	POS	'
s	JJ	<unknown>
10-year-old	JJ	10-year-old
granddaughter	NN	granddaughter
Stella	NP	Stella
said	VBD	say
there	EX	there
was	VBD	be
a	DT	a
"	``	"
bomb	NN	bomb
drill	NN	drill
.	SENT	.
"	''	"
<p>
But	CC	but
Lizzy	NP	Lizzy
Savetsky	NP	<unknown>
said	VBD	say
Israel	NP	Israel
does	VBZ	do
not	RB	not
have	VB	have
bomb	NN	bomb
drills	NNS	drill
and	CC	and
everyone	NN	everyone
crowded	VBN	crowd
in	IN	in
to	TO	to
the	DT	the
bomb	NN	bomb
shelter	NN	shelter
at	IN	at
the	DT	the
King	NP	King
David	NP	David
Hotel	NP	Hotel
in	IN	in
Jerusalem	NP	Jerusalem
.	SENT	.
<p>
His	PP$	his
daughter	NN	daughter
and	CC	and
her	PP$	her
familiy	NNS	<unknown>
decided	VBD	decide
to	TO	to
drive	VB	drive
to	TO	to
Ben	NP	Ben
Gurion	NP	Gurion
Airport	NP	Airport
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
where	WRB	where
they	PP	they
caught	VBD	catch
a	DT	a
flight	NN	flight
on	IN	on
the	DT	the
Israeli	JJ	Israeli
airline	NN	airline
El	NP	El
Al	NP	Al
.	SENT	.
The	DT	the
other	JJ	other
major	JJ	major
airlines	NNS	airline
canceled	VBD	cancel
their	PP$	their
flights	NNS	flight
after	IN	after
the	DT	the
attack	NN	attack
.	SENT	.
<p>
When	WRB	when
the	DT	the
family	NN	family
was	VBD	be
on	IN	on
the	DT	the
plane	NN	plane
,	,	,
Hamas	NP	<unknown>
began	VBD	begin
firing	VBG	fire
rockets	NNS	rocket
at	IN	at
the	DT	the
airport	NN	airport
,	,	,
Blum	NP	Blum
said	VBD	say
.	SENT	.
The	DT	the
pilot	NN	pilot
turned	VBN	turn
off	RB	off
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
Blum	NP	Blum
said	VBD	say
,	,	,
describing	VBG	describe
the	DT	the
text	NN	text
messages	NNS	message
from	IN	from
his	PP$	his
daughter	NN	daughter
.	SENT	.
<p>
Blum	NP	Blum
said	VBD	say
it	PP	it
is	VBZ	be
more	RBR	more
important	JJ	important
than	IN	than
ever	RB	ever
to	TO	to
speak	VB	speak
up	RP	up
on	IN	on
behalf	NN	behalf
of	IN	of
Israel	NP	Israel
,	,	,
the	DT	the
only	JJ	only
democracy	NN	democracy
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
<p>
According	VBG	accord
to	TO	to
Human	NP	Human
Rights	NPS	Rights
Watch	NN	watch
,	,	,
an	DT	an
international	JJ	international
organization	NN	organization
that	WDT	that
conducts	VBZ	conduct
research	NN	research
and	CC	and
advocacy	NN	advocacy
on	IN	on
human	JJ	human
rights	NNS	right
,	,	,
attacks	NNS	attack
on	IN	on
civilian	JJ	civilian
targets	NNS	target
violate	VBP	violate
international	JJ	international
humanitarian	JJ	humanitarian
treaties	NNS	treaty
such	JJ	such
as	IN	as
the	DT	the
Geneva	NP	Geneva
Conventions	NPS	Conventions
.	SENT	.
<p>
The	DT	the
European	NP	European
Union	NP	Union
has	VBZ	have
expanded	VBN	expand
its	PP$	its
warning	NN	warning
about	IN	about
illegal	JJ	illegal
content	NN	content
and	CC	and
disinformation	NN	disinformation
targeting	VBG	target
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
circulating	VBG	circulate
on	IN	on
social	JJ	social
media	NNS	medium
platforms	NNS	platform
to	TO	to
Meta	NP	Meta
,	,	,
the	DT	the
parent	NN	parent
company	NN	company
of	IN	of
Facebook	NP	<unknown>
and	CC	and
Instagram	NP	<unknown>
.	SENT	.
Yesterday	RB	yesterday
the	DT	the
bloc	NN	bloc
'	POS	'
s	JJ	<unknown>
internal	JJ	internal
market	NN	market
commissioner	NN	commissioner
,	,	,
Thierry	NP	Thierry
Breton	NP	Breton
,	,	,
published	VBD	publish
an	DT	an
urgent	JJ	urgent
letter	NN	letter
to	TO	to
Elon	NP	Elon
Musk	NN	musk
,	,	,
owner	NN	owner
of	IN	of
X	NP	X
(	(	(
formerly	RB	formerly
Twitter	NN	twitter
)	)	)
--	:	--
raising	VBG	raise
concerns	NNS	concern
the	DT	the
platform	NN	platform
is	VBZ	be
being	VBG	be
used	VBN	use
to	TO	to
disseminate	VB	disseminate
illegal	JJ	illegal
content	NN	content
and	CC	and
spread	VBD	spread
potentially	RB	potentially
harmful	JJ	harmful
disinformation	NN	disinformation
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
Saturday	NP	Saturday
'	POS	'
s	JJ	<unknown>
surprise	NN	surprise
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
by	IN	by
Hamas	NP	<unknown>
terrorists	NNS	terrorist
based	VBN	base
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
Google	NP	<unknown>
'	POS	'
s	JJ	<unknown>
Cloud	NP	Cloud
Spanner	NN	spanner
is	VBZ	be
now	RB	now
half	PDT	half
the	DT	the
cost	NN	cost
of	IN	of
Amazon	NP	Amazon
'	POS	'
s	JJ	<unknown>
DynamoDB	NN	<unknown>
"	''	"
for	IN	for
most	JJS	most
workloads	NNS	workload
,	,	,
"	''	"
Google	NP	<unknown>
says	VBZ	say
.	SENT	.
Google	NP	<unknown>
today	NN	today
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
database	NN	database
service	NN	service
hosted	VBD	host
on	IN	on
Google	NP	<unknown>
Cloud	NP	Cloud
,	,	,
is	VBZ	be
now	RB	now
more	RBR	more
efficient	JJ	efficient
in	IN	in
terms	NNS	term
of	IN	of
both	DT	both
compute	NN	compute
and	CC	and
storage	NN	storage
,	,	,
delivering	VBG	deliver
what	WP	what
Google	NP	<unknown>
describes	VBZ	describe
as	IN	as
"	``	"
significant	JJ	significant
"	''	"
cost	NN	cost
savings	NNS	saving
for	IN	for
customers	NNS	customer
.	SENT	.
Cloud	NN	cloud
Spanner	NN	spanner
'	POS	'
s	NNS	<unknown>
read	VBP	read
throughput	NN	throughput
has	VBZ	have
been	VBN	be
increased	VBN	increase
by	IN	by
50	CD	@card@
%	NN	%
.	SENT	.
