<p>
Jeff	NP	Jeff
ahead	RB	ahead
of	IN	of
a	DT	a
warm	JJ	warm
front	NN	front
in	IN	in
winter	NN	winter
.	SENT	.
As	IN	as
the	DT	the
aircraft	NN	aircraft
flies	VBZ	fly
through	IN	through
the	DT	the
warm	JJ	warm
,	,	,
moist	JJ	moist
air	NN	air
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
sucked	VBN	suck
up	RP	up
into	IN	into
the	DT	the
cold	JJ	cold
,	,	,
it	PP	it
hits	VBZ	hit
the	DT	the
supercooled	VBN	supercool
water	NN	water
in	IN	in
liquid	JJ	liquid
form	NN	form
,	,	,
which	WDT	which
then	RB	then
freezes	VBZ	freeze
on	IN	on
the	DT	the
leading	VBG	lead
edges	NNS	edge
of	IN	of
the	DT	the
plane	NN	plane
,	,	,
"	``	"
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
The	DT	the
American	JJ	American
flags	NNS	flag
were	VBD	be
nearly	RB	nearly
invisible	JJ	invisible
beneath	IN	beneath
the	DT	the
flames	NNS	flame
as	IN	as
the	DT	the
firebirds	NNS	firebird
--	:	--
one	CD	one
of	IN	of
whom	WP	whom
has	VBZ	have
racked	VBN	rack
up	RP	up
several	JJ	several
arrests	NNS	arrest
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
months	NNS	month
--	:	--
stood	VBD	stand
outside	IN	outside
the	DT	the
building	NN	building
at	IN	at
Second	NP	Second
Avenue	NP	Avenue
and	CC	and
East	NP	East
42nd	NP	42nd
Street	NP	Street
.	SENT	.
<p>
One	CD	one
man	NN	man
wearing	VBG	wear
a	DT	a
keffiyeh	NN	keffiyeh
and	CC	and
"	``	"
Gaza	NP	Gaza
"	''	"
shirt	NN	shirt
held	VBD	hold
a	DT	a
burning	JJ	burning
American	JJ	American
flag	NN	flag
as	IN	as
he	PP	he
stood	VBD	stand
in	IN	in
the	DT	the
bike	NN	bike
lane	NN	lane
directly	RB	directly
in	IN	in
front	NN	front
of	IN	of
an	DT	an
NYPD	JJ	<unknown>
booth	NN	booth
,	,	,
whose	WP$	whose
glass	NN	glass
reflected	VBD	reflect
the	DT	the
bright	JJ	bright
yellow	JJ	yellow
flames	NNS	flame
.	SENT	.
<p>
The	DT	the
American	JJ	American
flags	NNS	flag
were	VBD	be
nearly	RB	nearly
invisible	JJ	invisible
beneath	IN	beneath
the	DT	the
flames	NNS	flame
as	IN	as
the	DT	the
firebirds	NNS	firebird
--	:	--
one	CD	one
of	IN	of
whom	WP	whom
has	VBZ	have
racked	VBN	rack
up	RP	up
several	JJ	several
arrests	NNS	arrest
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
months	NNS	month
--	:	--
stood	VBD	stand
outside	IN	outside
the	DT	the
building	NN	building
at	IN	at
Second	NP	Second
Avenue	NP	Avenue
and	CC	and
East	NP	East
42nd	NP	42nd
Street	NP	Street
.	SENT	.
Robert	NP	Robert
Miller	NP	Miller
<p>
A	DT	a
pair	NN	pair
of	IN	of
American	JJ	American
flags	NNS	flag
were	VBD	be
set	VBN	set
on	IN	on
fire	NN	fire
by	IN	by
anti-Israel	NP	anti-Israel
protesters	NNS	protester
outside	IN	outside
the	DT	the
Israeli	JJ	Israeli
consulate	NN	consulate
in	IN	in
Manhattan	NP	Manhattan
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
@samanthaettus/X	NN	<unknown>
<p>
The	DT	the
American	JJ	American
flags	NNS	flag
were	VBD	be
nearly	RB	nearly
invisible	JJ	invisible
beneath	IN	beneath
the	DT	the
flames	NNS	flame
as	IN	as
the	DT	the
firebirds	NNS	firebird
--	:	--
one	CD	one
of	IN	of
whom	WP	whom
has	VBZ	have
racked	VBN	rack
up	RP	up
several	JJ	several
arrests	NNS	arrest
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
months	NNS	month
--	:	--
stood	VBD	stand
outside	IN	outside
the	DT	the
building	NN	building
at	IN	at
Second	NP	Second
Avenue	NP	Avenue
and	CC	and
East	NP	East
42nd	NP	42nd
Street	NP	Street
.	SENT	.
Robert	NP	Robert
Miller	NP	Miller
<p>
Burnt	NP	Burnt
debris	NN	debris
lies	VBZ	lie
on	IN	on
the	DT	the
street	NN	street
after	IN	after
an	DT	an
American	JJ	American
flag	NN	flag
was	VBD	be
set	NN	set
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Jahki	NP	<unknown>
Lodgson-McCray	NP	Lodgson-McCray
,	,	,
20	CD	@card@
,	,	,
of	IN	of
New	NP	New
Jersey	NP	Jersey
was	VBD	be
charged	VBN	charge
with	IN	with
second-degree	NN	second-degree
reckless	JJ	reckless
endangerment	NN	endangerment
,	,	,
third-degree	NN	third-degree
menacing	VBG	menace
,	,	,
disorderly	JJ	disorderly
conduct	NN	conduct
and	CC	and
failure	NN	failure
to	TO	to
use	VB	use
a	DT	a
sidewalk	NN	sidewalk
.	SENT	.
Robert	NP	Robert
Miller	NP	Miller
