<p>
Teams	NNS	team
OCHA	NP	Ocha
described	VBD	describe
as	IN	as
a	DT	a
mass	JJ	mass
grave	NN	grave
.	SENT	.
<p>
Information	NP	Information
You	NP	You
Can	NP	Can
Trust	NP	Trust
:	:	:
Stay	VBP	stay
instantly	RB	instantly
connected	VBN	connect
with	IN	with
breaking	VBG	break
stories	NNS	story
and	CC	and
live	JJ	live
updates	NNS	update
.	SENT	.
From	IN	from
politics	NNS	politics
and	CC	and
technology	NN	technology
to	TO	to
entertainment	NN	entertainment
and	CC	and
beyond	RB	beyond
,	,	,
we	PP	we
provide	VBP	provide
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
dependable	JJ	dependable
source	NN	source
for	IN	for
24/7	CD	@card@
news	NN	news
.	SENT	.
