<p>
Germany	NP	Germany
rubble-strewn	VBN	rubble-strew
territory	NN	territory
,	,	,
where	WRB	where
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
live	VBP	live
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
survival	NN	survival
following	VBG	follow
more	JJR	more
than	IN	than
a	DT	a
year	NN	year
of	IN	of
heavy	JJ	heavy
bombardment	NN	bombardment
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
access	NN	access
to	TO	to
goods	NNS	good
and	CC	and
supplies	NNS	supply
to	TO	to
Gaza	NP	Gaza
and	CC	and
called	VBN	call
on	IN	on
Israel	NP	Israel
to	TO	to
comply	VB	comply
with	IN	with
its	PP$	its
obligations	NNS	obligation
under	IN	under
international	JJ	international
law	NN	law
and	CC	and
to	TO	to
ensure	VB	ensure
the	DT	the
full	JJ	full
,	,	,
rapid	JJ	rapid
,	,	,
safe	JJ	safe
and	CC	and
unhindered	JJ	unhindered
delivery	NN	delivery
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
,	,	,
"	''	"
Deschauer	NP	Deschauer
said	VBD	say
on	IN	on
Monday	NP	Monday
.	SENT	.
<p>
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
said	VBD	say
Israel	NP	Israel
may	MD	may
have	VB	have
used	VBN	use
"	''	"
starvation	NN	starvation
as	IN	as
a	DT	a
method	NN	method
of	IN	of
warfare	NN	warfare
"	''	"
in	IN	in
issuing	VBG	issue
an	DT	an
arrest	NN	arrest
warrant	NN	warrant
for	IN	for
PM	NP	PM
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
last	JJ	last
year	NN	year
.	SENT	.
Israel	NP	Israel
has	VBZ	have
rejected	VBN	reject
the	DT	the
accusation	NN	accusation
.	SENT	.
<p>
Deschauer	NP	Deschauer
also	RB	also
called	VBD	call
on	IN	on
Hamas	NP	<unknown>
to	TO	to
"	``	"
finally	RB	finally
put	VB	put
an	DT	an
end	NN	end
to	TO	to
the	DT	the
suffering	NN	suffering
and	CC	and
humiliation	NN	humiliation
of	IN	of
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
and	CC	and
their	PP$	their
families	NNS	family
and	CC	and
release	VB	release
the	DT	the
hostages	NNS	hostage
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
cease-fire	NN	cease-fire
and	CC	and
hostage	NN	hostage
deal	NN	deal
.	SENT	.
"	''	"
<p>
Hamas	NP	<unknown>
dubbed	VBD	dub
the	DT	the
electricity	NN	electricity
cutoff	NN	cutoff
"	``	"
a	DT	a
desperate	JJ	desperate
attempt	NN	attempt
to	TO	to
pressure	VB	pressure
our	PP$	our
people	NNS	people
and	CC	and
their	PP$	their
resistance	NN	resistance
through	IN	through
cheap	JJ	cheap
and	CC	and
unacceptable	JJ	unacceptable
blackmail	NN	blackmail
tactics	NNS	tactic
,	,	,
"	''	"
according	VBG	accord
to	TO	to
Al	NP	Al
Jazeera	NP	<unknown>
.	SENT	.
<p>
Israel	NP	Israel
on	IN	on
Monday	NP	Monday
sent	VBD	send
a	DT	a
delegation	NN	delegation
to	TO	to
Doha	NP	Doha
,	,	,
where	WRB	where
cease-fire	NN	cease-fire
talks	NNS	talk
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
are	VBP	be
to	TO	to
resume	VB	resume
with	IN	with
Egypt	NP	Egypt
,	,	,
Qatar	NP	Qatar
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
mediating	VBG	mediate
.	SENT	.
<p>
Israeli	JJ	Israeli
officials	NNS	official
and	CC	and
Hamas	NNS	<unknown>
agreed	VBD	agree
on	IN	on
a	DT	a
six-week	NN	six-week
cease-fire	NN	cease-fire
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
Israel	NP	Israel
has	VBZ	have
been	VBN	be
pushing	VBG	push
to	TO	to
continue	VB	continue
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
deal	NN	deal
,	,	,
mostly	RB	mostly
a	DT	a
hostage	NN	hostage
exchange	NN	exchange
,	,	,
without	IN	without
committing	VBG	commit
to	TO	to
permanently	RB	permanently
ending	VBG	end
the	DT	the
war	NN	war
,	,	,
while	IN	while
Hamas	NP	<unknown>
is	VBZ	be
pushing	VBG	push
to	TO	to
begin	VB	begin
talks	NNS	talk
on	IN	on
the	DT	the
second	JJ	second
phase	NN	phase
of	IN	of
the	DT	the
truce	NN	truce
,	,	,
which	WDT	which
should	MD	should
lay	VB	lay
the	DT	the
groundwork	NN	groundwork
for	IN	for
a	DT	a
permanent	JJ	permanent
cease-fire	NN	cease-fire
.	SENT	.
