<p>
Donald	NP	Donald
his	PP$	his
visit	NN	visit
to	TO	to
the	DT	the
White	NP	White
House	NP	House
,	,	,
King	NP	King
Abdullah	NP	Abdullah
was	VBD	be
blunter	JJR	blunt
.	SENT	.
<p>
"	''	"
I	PP	I
reiterated	VBD	reiterate
Jordan	NP	Jordan
'	POS	'
s	JJ	<unknown>
steadfast	JJ	steadfast
position	NN	position
against	IN	against
the	DT	the
displacement	NN	displacement
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
"	''	"
he	PP	he
said	VBD	say
of	IN	of
his	PP$	his
private	JJ	private
meeting	NN	meeting
with	IN	with
Mr	NP	Mr
Trump	NP	Trump
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
unified	JJ	unified
Arab	JJ	Arab
position	NN	position
.	SENT	.
Rebuilding	VBG	rebuild
Gaza	NP	Gaza
without	IN	without
displacing	VBG	displace
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
addressing	VBG	address
the	DT	the
dire	FW	dire
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
Achieving	VBG	achieve
just	RB	just
peace	NN	peace
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
two-state	NN	two-state
solution	NN	solution
is	VBZ	be
the	DT	the
way	NN	way
to	TO	to
ensure	VB	ensure
regional	JJ	regional
stability	NN	stability
.	SENT	.
This	DT	this
requires	VBZ	require
US	PP	us
leadership	NN	leadership
.	SENT	.
"	``	"
<h>
Our	PP$	our
News	NP	News
Network	NP	Network
<h>
Our	PP$	our
Partners	NNS	partner
<p>
A	DT	a
NOTE	NN	note
ABOUT	IN	about
RELEVANT	JJ	relevant
ADVERTISING	NP	ADVERTISING
:	:	:
We	PP	we
collect	VBP	collect
information	NN	information
about	IN	about
the	DT	the
content	JJ	content
(	(	(
including	VBG	include
ads	NNS	ad
)	)	)
you	PP	you
use	VBP	use
across	IN	across
this	DT	this
site	NN	site
and	CC	and
use	VB	use
it	PP	it
to	TO	to
make	VB	make
both	DT	both
advertising	NN	advertising
and	CC	and
content	VB	content
more	RBR	more
relevant	JJ	relevant
to	TO	to
you	PP	you
on	IN	on
our	PP$	our
network	NN	network
and	CC	and
other	JJ	other
sites	NNS	site
.	SENT	.
Find	VB	find
out	RP	out
more	JJR	more
about	IN	about
our	PP$	our
policy	NN	policy
and	CC	and
your	PP$	your
choices	NNS	choice
,	,	,
including	VBG	include
how	WRB	how
to	TO	to
opt-out.Sometimes	NN	<unknown>
our	PP$	our
articles	NNS	article
will	MD	will
try	VB	try
to	TO	to
help	VB	help
you	PP	you
find	VB	find
the	DT	the
right	JJ	right
product	NN	product
at	IN	at
the	DT	the
right	JJ	right
price	NN	price
.	SENT	.
We	PP	we
may	MD	may
receive	VB	receive
payment	NN	payment
from	IN	from
third	JJ	third
parties	NNS	party
for	IN	for
publishing	VBG	publish
this	DT	this
content	NN	content
or	CC	or
when	WRB	when
you	PP	you
make	VBP	make
a	DT	a
purchase	NN	purchase
through	IN	through
the	DT	the
links	NNS	link
on	IN	on
our	PP$	our
sites	NNS	site
.	SENT	.
