<p>
LONDON	NP	LONDON
Providing	VBG	provide
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
is	VBZ	be
an	DT	an
"	``	"
obligation	NN	obligation
under	IN	under
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
"	''	"
for	IN	for
Israel	NP	Israel
as	IN	as
it	PP	it
controls	VBZ	control
all	DT	all
access	NN	access
to	TO	to
the	DT	the
territory	NN	territory
,	,	,
it	PP	it
added	VBD	add
.	SENT	.
<p>
UK	NP	UK
Foreign	NP	Foreign
Minister	NP	Minister
David	NP	David
Lammy	NP	<unknown>
said	VBD	say
on	IN	on
X	NP	X
that	IN	that
there	EX	there
"	''	"
can	MD	can
be	VB	be
no	DT	no
justification	NN	justification
for	IN	for
Minister	NP	Minister
Smotrich	NP	Smotrich
'	POS	'
s	JJ	<unknown>
remarks	NNS	remark
"	''	"
,	,	,
and	CC	and
called	VBD	call
on	IN	on
"	``	"
the	DT	the
wider	RBR	wider
Israeli	JJ	Israeli
government	NN	government
to	TO	to
retract	VB	retract
and	CC	and
condemn	VB	condemn
them	PP	them
"	''	"
.	SENT	.
<p>
Since	IN	since
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
broke	VBD	break
out	RP	out
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
the	DT	the
besieged	JJ	besieged
Palestinian	JJ	Palestinian
territory	NN	territory
remains	VBZ	remain
dire	JJ	dire
,	,	,
with	IN	with
almost	RB	almost
all	DT	all
of	IN	of
its	PP$	its
2.4	CD	@card@
million	CD	million
population	NN	population
displaced	VBN	displace
and	CC	and
suffering	VBG	suffer
from	IN	from
food	NN	food
shortages	NNS	shortage
.	SENT	.
<p>
The	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
began	VBD	begin
after	IN	after
Hamas	JJ	<unknown>
militants	NNS	militant
attacked	VBD	attack
Israel	NP	Israel
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
which	WDT	which
resulted	VBD	result
in	IN	in
the	DT	the
deaths	NNS	death
of	IN	of
1,198	CD	@card@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
based	VBN	base
on	IN	on
official	JJ	official
Israeli	JJ	Israeli
figures	NNS	figure
.	SENT	.
<p>
Militants	NNS	militant
also	RB	also
seized	VBD	seize
251	CD	@card@
people	NNS	people
,	,	,
111	CD	@card@
of	IN	of
whom	WP	whom
are	VBP	be
still	RB	still
held	VBN	hold
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
,	,	,
including	VBG	include
39	CD	@card@
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
says	NNS	say
are	VBP	be
dead	JJ	dead
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
retaliatory	JJ	retaliatory
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
killed	VBN	kill
at	IN	at
least	JJS	least
39,677	CD	@card@
people	NNS	people
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
health	NN	health
ministry	NN	ministry
in	IN	in
the	DT	the
Hamas-run	JJ	<unknown>
territory	NN	territory
,	,	,
which	WDT	which
does	VBZ	do
not	RB	not
provide	VB	provide
details	NNS	detail
on	IN	on
civilian	JJ	civilian
and	CC	and
militant	JJ	militant
deaths	NNS	death
.	SENT	.
--	:	--
Reuters	NP	Reuters
