<p>
(	(	(
Hussam	NP	Hussam
Abu	NP	Abu
Safiya	NP	Safiya
.	SENT	.
<p>
"	``	"
This	DT	this
will	MD	will
not	RB	not
stop	VB	stop
us	PP	us
from	IN	from
completing	VBG	complete
our	PP$	our
humanitarian	JJ	humanitarian
mission	NN	mission
and	CC	and
we	PP	we
will	MD	will
continue	VB	continue
to	TO	to
do	VB	do
this	DT	this
job	NN	job
at	IN	at
any	DT	any
cost	NN	cost
,	,	,
"	''	"
Abu	NP	Abu
Safiya	NP	Safiya
said	VBD	say
in	IN	in
a	DT	a
video	JJ	video
statement	NN	statement
circulated	VBN	circulate
by	IN	by
the	DT	the
health	NN	health
ministry	NN	ministry
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
being	VBG	be
targeted	VBN	target
daily	RB	daily
.	SENT	.
They	PP	they
targeted	VBD	target
me	PP	me
a	DT	a
while	NN	while
ago	RB	ago
but	CC	but
this	DT	this
will	MD	will
not	RB	not
deter	VB	deter
us	PP	us
,	,	,
"	''	"
he	PP	he
said	VBD	say
from	IN	from
his	PP$	his
hospital	NN	hospital
bed	NN	bed
.	SENT	.
<p>
Kamal	NP	Kamal
Adwan	NP	<unknown>
is	VBZ	be
one	CD	one
of	IN	of
three	CD	three
hospitals	NNS	hospital
in	IN	in
north	JJ	north
Gaza	NP	Gaza
that	WDT	that
are	VBP	be
barely	RB	barely
operational	JJ	operational
as	IN	as
the	DT	the
health	NN	health
ministry	NN	ministry
said	VBD	say
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VBP	have
detained	VBN	detain
and	CC	and
expelled	VBN	expel
medical	JJ	medical
staff	NN	staff
and	CC	and
prevented	VBN	prevent
emergency	NN	emergency
medical	JJ	medical
,	,	,
food	NN	food
and	CC	and
fuel	NN	fuel
supplies	NNS	supply
from	IN	from
reaching	VBG	reach
them	PP	them
.	SENT	.
<p>
In	IN	in
the	DT	the
past	JJ	past
few	JJ	few
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
medical	JJ	medical
and	CC	and
fuel	NN	fuel
supplies	NNS	supply
and	CC	and
the	DT	the
transfer	NN	transfer
of	IN	of
patients	NNS	patient
from	IN	from
north	JJ	north
Gaza	NP	Gaza
hospitals	NNS	hospital
in	IN	in
collaboration	NN	collaboration
with	IN	with
international	JJ	international
agencies	NNS	agency
such	JJ	such
as	IN	as
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
.	SENT	.
<p>
Residents	NNS	resident
in	IN	in
three	CD	three
embattled	JJ	embattled
north	JJ	north
Gaza	NP	Gaza
towns	NNS	town
--	:	--
Jabalia	NP	<unknown>
,	,	,
Beit	NP	Beit
Lahiya	NP	<unknown>
and	CC	and
Beit	NP	Beit
Hanoun	NP	<unknown>
--	:	--
said	VBD	say
Israeli	JJ	Israeli
forces	NNS	force
had	VBD	have
blown	VBN	blow
up	RP	up
hundreds	NNS	hundred
of	IN	of
houses	NNS	house
since	IN	since
renewing	VBG	renew
operations	NNS	operation
in	IN	in
an	DT	an
area	NN	area
that	IN	that
Israel	NP	Israel
said	VBD	say
months	NNS	month
ago	RB	ago
had	VBD	have
been	VBN	be
cleared	VBN	clear
of	IN	of
militants	NNS	militant
.	SENT	.
<p>
Palestinians	NPS	Palestinians
say	VBP	say
Israel	NP	Israel
appears	VBZ	appear
determined	VBN	determine
to	TO	to
depopulate	VB	depopulate
the	DT	the
area	NN	area
permanently	RB	permanently
to	TO	to
create	VB	create
a	DT	a
buffer	NN	buffer
zone	NN	zone
along	IN	along
the	DT	the
northern	JJ	northern
edge	NN	edge
of	IN	of
Gaza	NP	Gaza
,	,	,
an	DT	an
accusation	NN	accusation
Israel	NP	Israel
denies	VBZ	deny
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
44,000	CD	@card@
people	NNS	people
,	,	,
uprooted	VBD	uproot
nearly	RB	nearly
all	PDT	all
the	DT	the
enclave	NN	enclave
'	POS	'
s	NN	S
2.3	CD	@card@
million	CD	million
population	NN	population
at	IN	at
least	JJS	least
once	RB	once
,	,	,
according	VBG	accord
to	TO	to
Gaza	NP	Gaza
officials	NNS	official
,	,	,
while	IN	while
reducing	VBG	reduce
wide	JJ	wide
swathes	NNS	swathe
of	IN	of
the	DT	the
narrow	JJ	narrow
coastal	JJ	coastal
territory	NN	territory
to	TO	to
rubble	NN	rubble
.	SENT	.
<p>
The	DT	the
war	NN	war
erupted	VBD	erupt
in	IN	in
response	NN	response
to	TO	to
a	DT	a
cross-border	JJ	cross-border
attack	NN	attack
by	IN	by
Hamas-led	JJ	<unknown>
militants	NNS	militant
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
in	IN	in
which	WDT	which
gunmen	NNS	gunman
killed	VBD	kill
around	RB	around
1,200	CD	@card@
people	NNS	people
and	CC	and
took	VBD	take
more	JJR	more
than	IN	than
250	CD	@card@
hostages	NNS	hostage
back	RB	back
to	TO	to
Gaza	NP	Gaza
,	,	,
according	VBG	accord
to	TO	to
Israeli	JJ	Israeli
tallies	NNS	tally
.	SENT	.
--	:	--
Rappler.com	NP	<unknown>
